level_id,波次,标题,正文,开放内容,玩家应学会的操作,动态路线说明
level_1,1,教学 1/4：焦虑疾走者,先造2座美好回忆塔，别急着单塔升级。右侧金色图标是念力残堆。没有心魔时，塔会打破它返还念力。,焦虑/美好回忆塔/单线,放塔、看射程、取消选择,
level_1,2,教学 2/4：抑郁重雾,抑郁血厚、会拖慢附近塔，补信念塔处理高血量目标。本波开始出现第二条亮路，优先覆盖交汇处。,抑郁/信念塔/双线,补单体高伤、观察路线交汇,
level_1,3,教学 3/4：强迫循环者,强迫会回头反刍并带快同伴，别只守出生点。点击已建塔可查看数值、升级或拆除。,强迫/升级拆除/多线,点击已建塔、升级、拆除,
level_1,4,教学 4/4：自责伪装者,自责带伪装，普通塔很难稳定锁定。共鸣塔伤害低，但能破隐和减速，放在路线交汇或核心前。,自责/共鸣塔/stealth,使用共鸣塔破隐减速,
level_1,5,Boss谈判,第5波进入焦虑之核Boss战；Boss前会触发谈判选择。,Boss谈判/shield/rush,理解谈判会影响Boss状态,
level_1,6,创伤与多线,第6波起进入多线压力，创伤会从边路切入，测试后半局补防能力。,创伤/多线/swarm/split,边路补防、换阵、塑形,
level_2,1,呼吸阀 1/3,蓝色圆阀是呼吸阀。它每6秒切换吸气和呼气：吸气会让附近心魔加速，呼气会让附近心魔更容易受伤。先观察阀门周围路线。,breath_phase/breath_vent,识别呼吸阀和相位切换,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_2,2,呼吸错拍 2/3,吸气阶段先用美好回忆塔处理快冲焦虑，呼气阶段再用信念塔或洞察塔处理厚血目标。别把全部念力一次性花完。,breath_phase/long,按吸气和呼气调整火力,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_2,3,呼吸错拍 3/3,本波会打开边路与短路，强迫和焦虑会交错出现。呼吸阀区域不是纯负面，呼气时把敌人留在阀门附近反而更好打。,breath_phase/edge/breath_vent,利用呼气窗口集火,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_3,1,镜门 1/3,紫色镜门会复制穿过它的心魔：约5.5秒后，从配对路线中段生成半血回声体。先别把全部火力压在第一条亮路上。,echo_group/mirror_gate,识别镜门和延迟回声,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_3,2,镜门 2/3,镜门可以被塔攻击。摧毁成对镜门中的任意一侧，就能让本波后续回声失效；不拆镜门时，要在副线预留火力。,echo_group/mirror_gate/long,拆镜门或预留副线火力,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_3,3,镜室回声 3/3,本波开始强迫会从边路主攻并触发镜门回声。持续DPS比一次爆发更稳，优先守镜门附近和回声落点。,echo_group/edge/mirror_gate,处理主攻和回声落点,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_4,1,枯井 1/3,金色枯井是高血量资源点。存活时会压制周围塔位和普通残堆生成，不能在压制范围内建塔或塑形。,scarcity/dry_well,识别枯井压制范围,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_4,2,枯井 2/3,摧毁枯井会返还大量念力，并释放相邻塔位；被打掉的枯井本局后续不会再出现。低资源关先决定拆井还是补防。,scarcity/dry_well,拆资源换经济和塔位,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_4,3,枯井沉降 3/3,快冲会惩罚过度省钱。必要时拆掉低效塔，把念力换成关键升级；枯井释放出的塔位优先覆盖长绕路线。,scarcity/rush/dry_well,拆塔、升级和扩塔位取舍,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_5,1,裂隙 1/3,红色裂隙节点会强化边路：边偷路线心魔进入裂隙范围会短时加速。边界桩放在裂隙附近可以压制这个加速。,fracture_edge/fracture_node,识别裂隙加速和边界桩压制,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_5,2,裂隙 2/3,裂隙节点可以被塔攻击。摧毁它能关掉对应区域的边路加速；不拆时要用边界桩和共鸣塔保护核心前区。,fracture_edge/fracture_node/stealth,拆裂隙或用边界桩压制,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_5,3,裂隙 3/3,创伤会从裂隙边路闪进来。边界桩既能压制裂隙加速，也能阻挡创伤闪回；优先守交汇和核心前一段。,fracture_edge/ptsd/fracture_node,边界桩控位创伤,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_6,1,整合审判 1/3,开局就会点亮短路和长绕，全部心魔和技能已解锁。第3波起会出现审判碑：范围内精英会吸走火力并获得护盾和减伤，先建立混合火力。,trial_elite/long/trial_obelisk,建立综合防线并预判审判碑,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_6,2,整合审判 2/3,本波长绕和边路同时进场。隐身和强迫会同场出现，破隐、持续伤害和后段兜底都要预留。,trial_elite/stealth,组合塔种覆盖,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
level_6,3,整合审判 3/3,审判碑登场：范围内嘲讽或护盾精英会吸走塔火力，获得10%生命护盾并受到约25%更少伤害。优先拆碑，或把边界桩放在光环外侧，让精英停在范围外。,trial_elite/trial_obelisk/taunt,拆碑或拦在范围外,提示会随当前实际路线刷新，以亮起路线和实际刷怪为准。
