波次,夜晚主题,是否Boss,基础阵型,本波念力补给,路线开放规则,开放心魔,开放技能,设计目标
1,焦虑入门,否,scattered,0,单线：当前主路线,焦虑,无,教学放塔和AOE铺场
2,抑郁登场,否,scattered,20,最多双线：短快主干+当前主路线,焦虑/抑郁,无,教学信念塔处理厚血目标；补足买塔资源
3,强迫切入,否,scattered,18,最多三线：短快主干+长绕路线+当前主路线,焦虑/抑郁/强迫,无,教学持续DPS和路线交汇防守
4,自责伪装,否,scattered,22,按主路线开放2-3线,焦虑/抑郁/强迫/自责,stealth,教学共鸣塔破隐和减速
5,焦虑之核,是,wedge,20,按主路线开放2-3线,焦虑/抑郁/强迫/自责,rush/shield/taunt,首次Boss谈判；引入首领压迫
6,创伤余震,否,clustered,16,固定三线：短快/长绕/边偷,全心魔,swarm/split/ptsd,创伤首次教学；后半局开始多线压力
7,创伤追击,否,scattered,18,固定三线：短快/长绕/边偷,全心魔,全技能,创伤进入常规压力池
8,混合压力,否,scattered,16,固定三线：短快/长绕/边偷,全心魔,全技能,综合考验塔阵覆盖和换阵
9,终局前 swarm,否,clustered,16,固定三线：短快/长绕/边偷,全心魔,全技能,群体压力和资源消耗
10,执念Boss,是,rear_first,20,固定三线：短快/长绕/边偷,全心魔,全技能,最终Boss；检验完整防线和谈判结果
