level_id,波次,波次主题,是否Boss,基础阵型,本波念力补给,路线开放规则,开放心魔,开放技能,设计目标
level_1,1,焦虑入门,否,scattered,0,单线：当前主路线,焦虑,无,教学放塔和AOE铺场
level_1,2,抑郁登场,否,scattered,20,最多双线：短快主干+当前主路线,焦虑/抑郁,无,教学信念塔处理厚血目标；补足买塔资源
level_1,3,强迫切入,否,scattered,18,最多三线：短快主干+长绕路线+当前主路线,焦虑/抑郁/强迫,无,教学持续DPS和路线交汇防守
level_1,4,自责伪装,否,scattered,22,按主路线开放2-3线,焦虑/抑郁/强迫/自责,stealth,教学共鸣塔破隐和减速
level_1,5,焦虑之核,是,wedge,20,按主路线开放2-3线,焦虑/抑郁/强迫/自责,rush/shield/taunt,首次Boss谈判；引入首领压迫
level_1,6,创伤余震,否,clustered,16,多线合流：短快/长绕/边偷,全心魔,swarm/split/ptsd,创伤首次教学；后半局开始多线压力
level_1,7,创伤追击,否,scattered,18,多线合流：短快/长绕/边偷,全心魔,全技能,创伤进入常规压力池
level_1,8,混合压力,否,scattered,16,多线合流：短快/长绕/边偷,全心魔,全技能,综合考验塔阵覆盖和换阵
level_1,9,终局前 swarm,否,clustered,16,多线合流：短快/长绕/边偷,全心魔,全技能,群体压力和资源消耗
level_1,10,执念Boss,是,rear_first,20,多线合流：短快/长绕/边偷,全心魔,全技能,最终Boss；检验完整防线和谈判结果
level_2,1,第一口错拍,否,clustered,18,短快主干,全心魔,rush,用密集焦虑展示快相位
level_2,2,沉重吐息,否,scattered,20,短快+长绕,全心魔,rush,前快后慢要求AOE后接单体
level_2,3,反复吸气,否,scattered,18,短快+边偷,全心魔,rush/split,强迫和焦虑交错打乱节奏
level_2,4,屏息伪装,否,wedge,18,长绕+短快,全心魔,stealth/rush,快冲中混入伪装目标
level_2,5,窒息钟摆,是,wedge,20,短快为主,全心魔,rush/shield,本关第一次快慢Boss节奏
level_2,6,余息回落,否,scattered,18,多线合流,全心魔,全技能,创伤边路和慢厚目标共同出现
level_2,7,长雾压胸,否,rear_first,18,多线合流,全心魔,taunt/split,厚血嘲讽配合强迫扰动
level_2,8,急促回潮,否,clustered,16,多线合流,全心魔,swarm/stealth,群体快冲后接隐身渗透
level_2,9,错拍合流,否,scattered,16,多线合流,全心魔,split/flicker,边路创伤与长绕强迫双压力
level_2,10,深呼吸反面,是,rear_first,20,多线合流,全心魔,shield/stealth,终局慢厚Boss检验切节奏能力
level_3,1,镜面初亮,否,scattered,18,短快主干,全心魔,rush,先建立普通主攻节奏
level_3,2,第一道倒影,否,scattered,20,短快+长绕,全心魔,rush,主攻与副线预告回声主题
level_3,3,延迟复读,否,scattered,18,边偷+长绕,全心魔,split,首次显式回声组
level_3,4,伪装倒影,否,scattered,18,长绕+边偷,全心魔,stealth,隐身主攻和延迟隐身副本
level_3,5,镜中执念,是,rear_first,20,边偷+短快,全心魔,shield/split,执念Boss配合延迟回声
level_3,6,雾中回音,否,scattered,18,多线合流,全心魔,split,抑郁主攻和短路回声
level_3,7,双线误认,否,wedge,18,多线合流,全心魔,rush/stealth,快冲和隐身同时考察识别
level_3,8,碎镜闪回,否,scattered,16,多线合流,全心魔,split,创伤与强迫互为回声
level_3,9,镜群合唱,否,clustered,16,多线合流,全心魔,taunt/swarm,厚血嘲讽拖住火力让群体回声抵达
level_3,10,双生回声,是,rear_first,20,多线合流,全心魔,shield/stealth,镜像Boss与强迫自责双线终考
level_4,1,枯井第一层,否,scattered,10,长绕路线,全心魔,无,少量厚血目标逼玩家精打细算
level_4,2,匮乏伪装,否,scattered,12,长绕+短快,全心魔,stealth,低资源下引入破隐需求
level_4,3,短促透支,否,clustered,10,短快主干,全心魔,rush,用快冲惩罚过度省钱
level_4,4,旧债回环,否,scattered,12,边偷+长绕,全心魔,split/flicker,需要用有限塔位覆盖两类威胁
level_4,5,枯井重雾,是,rear_first,14,长绕路线,全心魔,shield/taunt,厚血Boss和嘲讽逼迫升级决策
level_4,6,节余反击,否,scattered,12,短快+边偷,全心魔,rush/stealth,低补给下的快慢混压
level_4,7,重雾压账,否,wedge,12,长绕+边偷,全心魔,shield/split,护盾抑郁与强迫拉长战线
level_4,8,井壁闪回,否,scattered,12,多线合流,全心魔,全技能,多线压力检验塔阵效率
level_4,9,低补给压测,否,scattered,10,多线合流,全心魔,stealth/flicker,少补给下处理隐身和创伤
level_4,10,深井之底,是,rear_first,14,多线合流,全心魔,shield,终局厚血Boss检验经济管理
level_5,1,裂隙开边,否,scattered,18,短快+边偷,全心魔,rush,第一波即开放边偷路线
level_5,2,边界伪装,否,wedge,18,短快+边偷,全心魔,stealth,隐身从边路提前渗透
level_5,3,闪回裂口,否,scattered,18,边偷+长绕,全心魔,flicker,创伤边路与抑郁长绕夹击
level_5,4,双裂快压,否,clustered,16,短快+边偷,全心魔,rush/swarm,两路焦虑快冲要求边界桩
level_5,5,裂隙闪回,是,wedge,20,边偷路线,全心魔,shield/stealth,创伤Boss从边路压核心前区
level_5,6,长边夹击,否,rear_first,18,长绕+边偷,全心魔,taunt/split,厚血嘲讽和强迫边路拉扯
level_5,7,边线暴涨,否,clustered,16,短快+边偷,全心魔,swarm/flicker,群体快冲与创伤连续边压
level_5,8,裂隙换位,否,scattered,16,多线合流,全心魔,stealth/shield,隐身和护盾分布两翼
level_5,9,三线混压,否,scattered,16,多线合流,全心魔,全技能,多线同时压迫交汇火力
level_5,10,裂隙执念,是,rear_first,20,多线合流,全心魔,shield/flicker,最终执念和创伤从裂隙合流
level_6,1,审判开庭,否,scattered,20,短快+长绕,全心魔,rush,进阶关直接给混合基础压
level_6,2,证词交错,否,scattered,18,边偷+长绕,全心魔,stealth/split,隐身与强迫同时上桌
level_6,3,第一名证人,否,rear_first,18,长绕+边偷,全心魔,taunt/flicker,抑郁精英吸火创伤穿线
level_6,4,全员反驳,否,clustered,16,短快+边偷,全心魔,rush/split,快冲和强迫分裂检验覆盖
level_6,5,审判焦虑,是,wedge,20,短快主干,全心魔,shield/swarm,焦虑Boss和群体快冲组合
level_6,6,伪装证人,否,rear_first,18,边偷路线,全心魔,stealth/taunt,自责精英吸火配创伤边压
level_6,7,重雾陈词,否,wedge,18,长绕+边偷,全心魔,shield/split,护盾厚血和强迫扰动
level_6,8,三线会审,否,scattered,16,多线合流,全心魔,全技能,五类心魔多线综合考
level_6,9,最终证人,否,rear_first,16,多线合流,全心魔,shield/taunt,创伤精英带全线掩护
level_6,10,整合审判,是,rear_first,22,多线合流,全心魔,shield/taunt,最终Boss五类心魔全出终考
